lr,batch_size,num_layers,hidden_size,reduction_factor,test_loss
0.0001,128,6,1000,1.0,0.022313257679343224
0.0001,128,6,1200,0.2,0.02577047049999237
0.0001,128,6,1200,0.4,0.021878682076931
0.0001,128,6,1200,0.6,0.021652458235621452
0.0001,128,6,1200,0.8,0.022098850458860397
0.0001,128,6,1200,1.0,0.021871771663427353
0.0001,128,7,600,0.2,0.031165815889835358
0.0001,128,7,600,0.4,0.022025778889656067
0.0001,128,7,600,0.6,0.022097215056419373
0.0001,128,7,600,0.8,0.021877218037843704
0.0001,128,7,600,1.0,0.022123077884316444
0.0001,128,7,800,0.2,0.0736907571554184
0.0001,128,7,800,0.4,0.022178873419761658
0.0001,128,7,800,0.6,0.022169014438986778
0.0001,128,7,800,0.8,0.02167651616036892
0.0001,128,7,800,1.0,0.02216278202831745
0.0001,128,7,1000,0.2,0.06864964216947556
0.0001,128,7,1000,0.4,0.021780764684081078
0.0001,128,7,1000,0.6,0.02209107205271721
0.0001,128,7,1000,0.8,0.02193586342036724
0.0001,128,7,1000,1.0,0.0222143717110157
0.0001,128,7,1200,0.2,0.06457851827144623
0.0001,128,7,1200,0.4,0.021911488845944405
0.0001,128,7,1200,0.6,0.021832475438714027
0.0001,128,7,1200,0.8,0.022281574085354805
0.0001,128,7,1200,1.0,0.021855534985661507
0.0001,128,8,600,0.2,0.12551087141036987
0.0001,128,8,600,0.4,0.06845279783010483
0.0001,128,8,600,0.6,0.022423334419727325
0.0001,128,8,600,0.8,0.022118518128991127
0.0001,128,8,600,1.0,0.022266268730163574
0.0001,128,8,800,0.2,0.14196325838565826
0.0001,128,8,800,0.4,0.0394446887075901
0.0001,128,8,800,0.6,0.02221507392823696
0.0001,128,8,800,0.8,0.022058842703700066
0.0001,128,8,800,1.0,0.021794497966766357
0.0001,128,8,1000,0.2,0.06453226506710052
0.0001,128,8,1000,0.4,0.021713566035032272
0.0001,128,8,1000,0.6,0.022279629483819008
0.0001,128,8,1000,0.8,0.021955758333206177
0.0001,128,8,1000,1.0,0.02210056595504284
0.0001,128,8,1200,0.2,0.06522370874881744
0.0001,128,8,1200,0.4,0.022181622684001923
0.0001,128,8,1200,0.6,0.021637337282299995
0.0001,128,8,1200,0.8,0.022058499976992607
0.0001,128,8,1200,1.0,0.022777104750275612
0.0001,256,4,600,0.2,0.022330233827233315
0.0001,256,4,600,0.4,0.022049039602279663
0.0001,256,4,600,0.6,0.021849341690540314
0.0001,256,4,600,0.8,0.02225775457918644
0.0001,256,4,600,1.0,0.0225401408970356
0.0001,256,4,800,0.2,0.022411806508898735
0.0001,256,4,800,0.4,0.0218746829777956
0.0001,256,4,800,0.6,0.022122398018836975
0.0001,256,4,800,0.8,0.022057190537452698
0.0001,256,4,800,1.0,0.022164849564433098
0.0001,256,4,1000,0.2,0.02160271629691124
0.0001,256,4,1000,0.4,0.02181725949048996
0.0001,256,4,1000,0.6,0.022035853937268257
0.0001,256,4,1000,0.8,0.022017573937773705
0.0001,256,4,1000,1.0,0.02210395410656929
0.0001,256,4,1200,0.2,0.02174106240272522
0.0001,256,4,1200,0.4,0.02199154905974865
0.0001,256,4,1200,0.6,0.021901825442910194
0.0001,256,4,1200,0.8,0.02215483784675598
0.0001,256,4,1200,1.0,0.022223984822630882
0.0001,256,5,600,0.2,0.023503806442022324
0.0001,256,5,600,0.4,0.021946771070361137
0.0001,256,5,600,0.6,0.021968482062220573
0.0001,256,5,600,0.8,0.02195264771580696
0.0001,256,5,600,1.0,0.02245485596358776
0.0001,256,5,800,0.2,0.02204905077815056
0.0001,256,5,800,0.4,0.022067751735448837
0.0001,256,5,800,0.6,0.02187495306134224
0.0001,256,5,800,0.8,0.021709037944674492
0.0001,256,5,800,1.0,0.022007903084158897
0.0001,256,5,1000,0.2,0.02184857428073883
0.0001,256,5,1000,0.4,0.02194509468972683
0.0001,256,5,1000,0.6,0.021721219643950462
0.0001,256,5,1000,0.8,0.021959910169243813
0.0001,256,5,1000,1.0,0.021904032677412033
0.0001,256,5,1200,0.2,0.021972639486193657
0.0001,256,5,1200,0.4,0.021854441612958908
0.0001,256,5,1200,0.6,0.02181291952729225
0.0001,256,5,1200,0.8,0.021931007504463196
0.0001,256,5,1200,1.0,0.022094516083598137
0.0001,256,6,600,0.2,0.07993089407682419
0.0001,256,6,600,0.4,0.021776089444756508
0.0001,256,6,600,0.6,0.021784380078315735
0.0001,256,6,600,0.8,0.022795820608735085
0.0001,256,6,600,1.0,0.021921196952462196
0.0001,256,6,800,0.2,0.08894278109073639
0.0001,256,6,800,0.4,0.021752364933490753
0.0001,256,6,800,0.6,0.021918777376413345
0.0001,256,6,800,0.8,0.021964874118566513
0.0001,256,6,800,1.0,0.022038305178284645
0.0001,256,6,1000,0.2,0.025979474186897278
0.0001,256,6,1000,0.4,0.02205057255923748
0.0001,256,6,1000,0.6,0.022093525156378746
0.0001,256,6,1000,0.8,0.02202240377664566
0.0001,256,6,1000,1.0,0.022294906899333
0.0001,256,6,1200,0.2,0.029979610815644264
0.0001,256,6,1200,0.4,0.021719681099057198
0.0001,256,6,1200,0.6,0.021658144891262054
0.0001,256,6,1200,0.8,0.02182319574058056
0.0001,256,6,1200,1.0,0.021990668028593063
0.0001,256,7,600,0.2,0.06596746295690536
0.0001,256,7,600,0.4,0.04373113811016083
0.0001,256,7,600,0.6,0.022152941673994064
0.0001,256,7,600,0.8,0.02216348983347416
0.0001,256,7,600,1.0,0.022583268582820892
0.0001,256,7,800,0.2,0.12669840455055237
0.0001,256,7,800,0.4,0.028051726520061493
0.0001,256,7,800,0.6,0.02177940495312214
0.0001,256,7,800,0.8,0.021823234856128693
0.0001,256,7,800,1.0,0.02262629009783268
0.0001,256,7,1000,0.2,0.07433122396469116
0.0001,256,7,1000,0.4,0.021577056497335434
0.0001,256,7,1000,0.6,0.021854128688573837
0.0001,256,7,1000,0.8,0.021421877667307854
