lr,batch_size,num_layers,hidden_size,test_loss
0.01,64,1,400,0.0640859454870224
0.01,64,1,500,0.06407912075519562
0.01,64,2,50,0.02338961884379387
0.01,64,2,100,0.023931466042995453
0.01,64,2,200,0.02379755675792694
0.01,64,2,300,0.023398716002702713
0.01,64,2,400,0.023971179500222206
0.01,64,2,500,0.024156449362635612
0.01,64,3,50,0.023353859782218933
0.01,64,3,100,0.023851614445447922
0.01,64,3,200,0.023368055000901222
0.01,64,3,300,0.024054164066910744
0.01,64,3,400,0.024128593504428864
0.01,64,3,500,0.024156002327799797
0.01,64,4,50,0.02297191321849823
0.01,64,4,100,0.023730115965008736
0.01,64,4,200,0.023049814626574516
0.01,64,4,300,0.024714816361665726
0.01,64,4,400,0.023776493966579437
0.01,64,4,500,0.02399618551135063
0.01,64,5,50,0.023888546973466873
0.01,64,5,100,0.023523347452282906
0.01,64,5,200,0.023272205144166946
0.01,64,5,300,0.023691581562161446
0.01,64,5,400,0.02405044250190258
0.01,64,5,500,0.3420560359954834
0.01,128,1,50,0.06408616900444031
0.01,128,1,100,0.06407760828733444
0.01,128,1,200,0.06405843049287796
0.01,128,1,300,0.0639868900179863
0.01,128,1,400,0.06402894109487534
0.01,128,1,500,0.06407234072685242
0.01,128,2,50,0.02333815023303032
0.01,128,2,100,0.02355768345296383
0.01,128,2,200,0.024083493277430534
0.01,128,2,300,0.023671651259064674
0.01,128,2,400,0.024097781628370285
0.01,128,2,500,0.02366585284471512
0.01,128,3,50,0.023340772837400436
0.01,128,3,100,0.02407061867415905
0.01,128,3,200,0.02373039349913597
0.01,128,3,300,0.02344353497028351
0.01,128,3,400,0.02332267165184021
0.01,128,3,500,0.02417249046266079
0.01,128,4,50,0.02311631478369236
0.01,128,4,100,0.024297334253787994
0.01,128,4,200,0.023721855133771896
0.01,128,4,300,0.023580443114042282
0.01,128,4,400,0.023508360609412193
0.01,128,4,500,0.2882978022098541
0.01,128,5,50,0.023320825770497322
0.01,128,5,100,0.023606574162840843
0.01,128,5,200,0.023356936872005463
0.01,128,5,300,0.02353043295443058
0.01,128,5,400,0.023764099925756454
0.01,128,5,500,0.2882978022098541
0.01,256,1,50,0.0640483871102333
0.01,256,1,100,0.06407611817121506
0.01,256,1,200,0.06399597227573395
0.01,256,1,300,0.0641060397028923
0.01,256,1,400,0.06396908313035965
0.01,256,1,500,0.06404085457324982
0.01,256,2,50,0.023667609319090843
0.01,256,2,100,0.02339501678943634
0.01,256,2,200,0.02362760528922081
0.01,256,2,300,0.023128410801291466
0.01,256,2,400,0.023242712020874023
0.01,256,2,500,0.023256482556462288
0.01,256,3,50,0.02331201359629631
0.01,256,3,100,0.02278493344783783
0.01,256,3,200,0.023767512291669846
0.01,256,3,300,0.023466704413294792
0.01,256,3,400,0.02354758232831955
0.01,256,3,500,0.02306169643998146
