lr,batch_size,num_layers,hidden_size,dropout_rate,init,test_loss
1e-05,32,5,300,0.3,xavier,0.039127860218286514
1e-05,32,5,300,0.4,he,0.0438007228076458
1e-05,32,5,300,0.4,xavier,0.042709458619356155
1e-05,32,5,300,0.5,he,0.04378366470336914
1e-05,32,5,300,0.5,xavier,0.04427262768149376
1e-05,32,5,400,0.2,he,0.030978219583630562
1e-05,32,5,400,0.2,xavier,0.030427386984229088
1e-05,32,5,400,0.3,he,0.038303766399621964
1e-05,32,5,400,0.3,xavier,0.03760072961449623
1e-05,32,5,400,0.4,he,0.041917119175195694
1e-05,32,5,400,0.4,xavier,0.04131828993558884
1e-05,32,5,400,0.5,he,0.04483523592352867
1e-05,32,5,400,0.5,xavier,0.043373819440603256
1e-05,32,5,500,0.2,he,0.027599941939115524
1e-05,32,5,500,0.2,xavier,0.0275463555008173
1e-05,32,5,500,0.3,he,0.03515953943133354
1e-05,32,5,500,0.3,xavier,0.0339624397456646
1e-05,32,5,500,0.4,he,0.041193198412656784
1e-05,32,5,500,0.4,xavier,0.03870018199086189
1e-05,32,5,500,0.5,he,0.042966078966856
1e-05,32,5,500,0.5,xavier,0.0412772111594677
1e-05,32,6,50,0.2,he,0.04736137017607689
1e-05,32,6,50,0.2,xavier,0.04597347974777222
1e-05,32,6,50,0.3,he,0.045625239610672
1e-05,32,6,50,0.3,xavier,0.04593229293823242
1e-05,32,6,50,0.4,he,0.04397674649953842
1e-05,32,6,50,0.4,xavier,0.04480166733264923
1e-05,32,6,50,0.5,he,0.0450570248067379
1e-05,32,6,50,0.5,xavier,0.04426639899611473
1e-05,32,6,100,0.2,he,0.04621458053588867
1e-05,32,6,100,0.2,xavier,0.043883610516786575
1e-05,32,6,100,0.3,he,0.04489900544285774
1e-05,32,6,100,0.3,xavier,0.04546350613236427
1e-05,32,6,100,0.4,he,0.04472335800528526
1e-05,32,6,100,0.4,xavier,0.04432477429509163
1e-05,32,6,100,0.5,he,0.04522423446178436
1e-05,32,6,100,0.5,xavier,0.04461070895195007
1e-05,32,6,200,0.2,he,0.040921974927186966
1e-05,32,6,200,0.2,xavier,0.04063829779624939
1e-05,32,6,200,0.3,he,0.043825697153806686
1e-05,32,6,200,0.3,xavier,0.04439475014805794
1e-05,32,6,200,0.4,he,0.043763741850852966
1e-05,32,6,200,0.4,xavier,0.043880630284547806
1e-05,32,6,200,0.5,he,0.04538920894265175
1e-05,32,6,200,0.5,xavier,0.04438786953687668
1e-05,32,6,300,0.2,he,0.03933074325323105
1e-05,32,6,300,0.2,xavier,0.038529060781002045
1e-05,32,6,300,0.3,he,0.0427456796169281
1e-05,32,6,300,0.3,xavier,0.041808050125837326
1e-05,32,6,300,0.4,he,0.04443180188536644
1e-05,32,6,300,0.4,xavier,0.0434599444270134
1e-05,32,6,300,0.5,he,0.04415303096175194
1e-05,32,6,300,0.5,xavier,0.04438455030322075
1e-05,32,6,400,0.2,he,0.041239846497774124
1e-05,32,6,400,0.2,xavier,0.03525089845061302
1e-05,32,6,400,0.3,he,0.04242849349975586
1e-05,32,6,400,0.3,xavier,0.04215754196047783
1e-05,32,6,400,0.4,he,0.04337399825453758
1e-05,32,6,400,0.4,xavier,0.044782985001802444
1e-05,32,6,400,0.5,he,0.044074248522520065
1e-05,32,6,400,0.5,xavier,0.04383682459592819
1e-05,32,6,500,0.2,he,0.0370110385119915
1e-05,32,6,500,0.2,xavier,0.04070153832435608
1e-05,32,6,500,0.3,he,0.04061087965965271
1e-05,32,6,500,0.3,xavier,0.04144398495554924
1e-05,32,6,500,0.4,he,0.043762512505054474
1e-05,32,6,500,0.4,xavier,0.042923685163259506
1e-05,32,6,500,0.5,he,0.04367305710911751
1e-05,32,6,500,0.5,xavier,0.043560899794101715
1e-05,32,7,50,0.2,he,0.04425955191254616
1e-05,32,7,50,0.2,xavier,0.04478353634476662
1e-05,32,7,50,0.3,he,0.047023966908454895
1e-05,32,7,50,0.3,xavier,0.045488130301237106
1e-05,32,7,50,0.4,he,0.04710930958390236
1e-05,32,7,50,0.4,xavier,0.04430022090673447
1e-05,32,7,50,0.5,he,0.043535251170396805
1e-05,32,7,50,0.5,xavier,0.044121671468019485
1e-05,32,7,100,0.2,he,0.04705972597002983
1e-05,32,7,100,0.2,xavier,0.045202966779470444
1e-05,32,7,100,0.3,he,0.044959355145692825
1e-05,32,7,100,0.3,xavier,0.04494158923625946
1e-05,32,7,100,0.4,he,0.0441778264939785
1e-05,32,7,100,0.4,xavier,0.04465748742222786
1e-05,32,7,100,0.5,he,0.045251600444316864
1e-05,32,7,100,0.5,xavier,0.044172365218400955
1e-05,32,7,200,0.2,he,0.04413563013076782
1e-05,32,7,200,0.2,xavier,0.0432279072701931
1e-05,32,7,200,0.3,he,0.04612120985984802
1e-05,32,7,200,0.3,xavier,0.04335678368806839
1e-05,32,7,200,0.4,he,0.04413962736725807
1e-05,32,7,200,0.4,xavier,0.04510875791311264
1e-05,32,7,200,0.5,he,0.04385955631732941
1e-05,32,7,200,0.5,xavier,0.04409912973642349
1e-05,32,7,300,0.2,he,0.0419863760471344
1e-05,32,7,300,0.2,xavier,0.04303267225623131
1e-05,32,7,300,0.3,he,0.04461347311735153
1e-05,32,7,300,0.3,xavier,0.04552408680319786
1e-05,32,7,300,0.4,he,0.044631049036979675
1e-05,32,7,300,0.4,xavier,0.047093432396650314
1e-05,32,7,300,0.5,he,0.05149096995592117
1e-05,32,7,300,0.5,xavier,0.04413535073399544
1e-05,32,7,400,0.2,he,0.04210676997900009
1e-05,32,7,400,0.2,xavier,0.04539552703499794
1e-05,32,7,400,0.3,he,0.044371090829372406
1e-05,32,7,400,0.3,xavier,0.043955083936452866
1e-05,32,7,400,0.4,he,0.04349345341324806
1e-05,32,7,400,0.4,xavier,0.04457119107246399
1e-05,32,7,400,0.5,he,0.04434813931584358
1e-05,32,7,400,0.5,xavier,0.04374232143163681
1e-05,32,7,500,0.2,he,0.041447825729846954
1e-05,32,7,500,0.2,xavier,0.04582207649946213
1e-05,32,7,500,0.3,he,0.043430279940366745
1e-05,32,7,500,0.3,xavier,0.04480736702680588
1e-05,32,7,500,0.4,he,0.044284719973802567
1e-05,32,7,500,0.4,xavier,0.04376905784010887
1e-05,32,7,500,0.5,he,0.04439004138112068
1e-05,32,7,500,0.5,xavier,0.04376818612217903
3.1622776601683795e-05,32,3,50,0.2,he,0.04370016232132912
3.1622776601683795e-05,32,3,50,0.2,xavier,0.04163823649287224
3.1622776601683795e-05,32,3,50,0.3,he,0.04416164010763168
3.1622776601683795e-05,32,3,50,0.3,xavier,0.04316623508930206
3.1622776601683795e-05,32,3,50,0.4,he,0.045855749398469925
3.1622776601683795e-05,32,3,50,0.4,xavier,0.044057268649339676
3.1622776601683795e-05,32,3,50,0.5,he,0.044372860342264175
3.1622776601683795e-05,32,3,50,0.5,xavier,0.04601405933499336
3.1622776601683795e-05,32,3,100,0.2,he,0.03667692840099335
3.1622776601683795e-05,32,3,100,0.2,xavier,0.03602208197116852
3.1622776601683795e-05,32,3,100,0.3,he,0.040374673902988434
3.1622776601683795e-05,32,3,100,0.3,xavier,0.03350050747394562
3.1622776601683795e-05,32,3,100,0.4,he,0.039278388023376465
3.1622776601683795e-05,32,3,100,0.4,xavier,0.038917575031518936
3.1622776601683795e-05,32,3,100,0.5,he,0.04187087342143059
3.1622776601683795e-05,32,3,100,0.5,xavier,0.038024138659238815
3.1622776601683795e-05,32,3,200,0.2,he,0.02758774906396866
3.1622776601683795e-05,32,3,200,0.2,xavier,0.020471004769206047
3.1622776601683795e-05,32,3,200,0.3,he,0.029803654178977013
3.1622776601683795e-05,32,3,200,0.3,xavier,0.02307686023414135
3.1622776601683795e-05,32,3,200,0.4,he,0.03360414132475853
3.1622776601683795e-05,32,3,200,0.4,xavier,0.0266977921128273
3.1622776601683795e-05,32,3,200,0.5,he,0.03865103796124458
3.1622776601683795e-05,32,3,200,0.5,xavier,0.0319288969039917
3.1622776601683795e-05,32,3,300,0.2,he,0.021762363612651825
3.1622776601683795e-05,32,3,300,0.2,xavier,0.01836656965315342
3.1622776601683795e-05,32,3,300,0.3,he,0.02318725548684597
3.1622776601683795e-05,32,3,300,0.3,xavier,0.018647335469722748
3.1622776601683795e-05,32,3,300,0.4,he,0.02763163298368454
3.1622776601683795e-05,32,3,300,0.4,xavier,0.020567761734128
3.1622776601683795e-05,32,3,300,0.5,he,0.03224197402596474
3.1622776601683795e-05,32,3,300,0.5,xavier,0.027990691363811493
3.1622776601683795e-05,32,3,400,0.2,he,0.020293068140745163
3.1622776601683795e-05,32,3,400,0.2,xavier,0.018177255988121033
3.1622776601683795e-05,32,3,400,0.3,he,0.020920585840940475
3.1622776601683795e-05,32,3,400,0.3,xavier,0.0182164516299963
3.1622776601683795e-05,32,3,400,0.4,he,0.024270525202155113
3.1622776601683795e-05,32,3,400,0.4,xavier,0.01930840313434601
3.1622776601683795e-05,32,3,400,0.5,he,0.02919299528002739
3.1622776601683795e-05,32,3,400,0.5,xavier,0.02199024334549904
3.1622776601683795e-05,32,3,500,0.2,he,0.018801312893629074
3.1622776601683795e-05,32,3,500,0.2,xavier,0.018223386257886887
3.1622776601683795e-05,32,3,500,0.3,he,0.019397234544157982
3.1622776601683795e-05,32,3,500,0.3,xavier,0.018172573298215866
3.1622776601683795e-05,32,3,500,0.4,he,0.020195309072732925
3.1622776601683795e-05,32,3,500,0.4,xavier,0.017769653350114822
3.1622776601683795e-05,32,3,500,0.5,he,0.023198090493679047
3.1622776601683795e-05,32,3,500,0.5,xavier,0.019202537834644318
3.1622776601683795e-05,32,4,50,0.2,he,0.043766576796770096
3.1622776601683795e-05,32,4,50,0.2,xavier,0.040432292968034744
