id,lr,batch_size,num_layers,hidden_size,min_test_loss
119,0.0001,256,5,400,0.015970954671502113
120,0.0001,256,5,500,0.016009407117962837
121,0.001,32,1,50,0.043707117438316345
122,0.001,32,1,100,0.04381078854203224
123,0.001,32,1,200,0.04375177621841431
124,0.001,32,1,300,0.04376416653394699
125,0.001,32,1,400,0.043809715658426285
126,0.001,32,1,500,0.04381728544831276
127,0.001,32,2,50,0.015754099935293198
128,0.001,32,2,100,0.015836089849472046
129,0.001,32,2,200,0.01614314503967762
130,0.001,32,2,300,0.016171352937817574
131,0.001,32,2,400,0.016247736290097237
132,0.001,32,2,500,0.016206618398427963
133,0.001,32,3,50,0.015843380242586136
134,0.001,32,3,100,0.01579108089208603
135,0.001,32,3,200,0.016044296324253082
136,0.001,32,3,300,0.01638624630868435
137,0.001,32,3,400,0.01625770516693592
138,0.001,32,3,500,0.01644047163426876
139,0.001,32,4,50,0.015567549504339695
140,0.001,32,4,100,0.016221946105360985
141,0.001,32,4,200,0.015832165256142616
142,0.001,32,4,300,0.01607147976756096
143,0.001,32,4,400,0.016265174373984337
144,0.001,32,4,500,0.015911849215626717
145,0.001,32,5,50,0.01595211774110794
146,0.001,32,5,100,0.01604088768362999
147,0.001,32,5,200,0.016477137804031372
148,0.001,32,5,300,0.015885066241025925
149,0.001,32,5,400,0.015907295048236847
150,0.001,32,5,500,0.015985378995537758
151,0.001,64,1,50,0.04382958263158798
152,0.001,64,1,100,0.04381801187992096
153,0.001,64,1,200,0.04378959536552429
154,0.001,64,1,300,0.043805550783872604
155,0.001,64,1,400,0.04383324459195137
156,0.001,64,1,500,0.04381971433758736
157,0.001,64,2,50,0.015842797234654427
158,0.001,64,2,100,0.015812449157238007
159,0.001,64,2,200,0.015947284176945686
160,0.001,64,2,300,0.016052937135100365
161,0.001,64,2,400,0.016271544620394707
162,0.001,64,2,500,0.01610788144171238
163,0.001,64,3,50,0.015560570172965527
164,0.001,64,3,100,0.015999171882867813
165,0.001,64,3,200,0.01612030155956745
166,0.001,64,3,300,0.016233224421739578
167,0.001,64,3,400,0.01628587767481804
168,0.001,64,3,500,0.016399255022406578
169,0.001,64,4,50,0.015791557729244232
170,0.001,64,4,100,0.015973519533872604
171,0.001,64,4,200,0.016542920842766762
172,0.001,64,4,300,0.01603497937321663
173,0.001,64,4,400,0.016344277188181877
174,0.001,64,4,500,0.016446009278297424
175,0.001,64,5,50,0.016136523336172104
176,0.001,64,5,100,0.015782050788402557
177,0.001,64,5,200,0.016013294458389282
178,0.001,64,5,300,0.016322946175932884
179,0.001,64,5,400,0.016085781157016754
180,0.001,64,5,500,0.016065320000052452
181,0.001,128,1,50,0.04382328689098358
182,0.001,128,1,100,0.043648432940244675
183,0.001,128,1,200,0.04367396607995033
184,0.001,128,1,300,0.04382196068763733
185,0.001,128,1,400,0.04382353276014328
186,0.001,128,1,500,0.04379500821232796
187,0.001,128,2,50,0.01585531234741211
188,0.001,128,2,100,0.015841327607631683
189,0.001,128,2,200,0.015853675082325935
190,0.001,128,2,300,0.016135940328240395
191,0.001,128,2,400,0.016200225800275803
192,0.001,128,2,500,0.016077473759651184
193,0.001,128,3,50,0.015855927020311356
194,0.001,128,3,100,0.015572786331176758
195,0.001,128,3,200,0.015826158225536346
196,0.001,128,3,300,0.016271499916911125
197,0.001,128,3,400,0.01611744798719883
198,0.001,128,3,500,0.01630222424864769
199,0.001,128,4,50,0.015839027240872383
200,0.001,128,4,100,0.015864429995417595
201,0.001,128,4,200,0.016393737867474556
202,0.001,128,4,300,0.016220349818468094
203,0.001,128,4,400,0.016368882730603218
204,0.001,128,4,500,0.016240742057561874
205,0.001,128,5,50,0.016093125566840172
206,0.001,128,5,100,0.016015758737921715
207,0.001,128,5,200,0.015970434993505478
208,0.001,128,5,300,0.016293922439217567
209,0.001,128,5,400,0.01617778278887272
210,0.001,128,5,500,0.015953516587615013
211,0.001,256,1,50,0.043807219713926315
212,0.001,256,1,100,0.04369260370731354
213,0.001,256,1,200,0.043792724609375
214,0.001,256,1,300,0.04383184015750885
215,0.001,256,1,400,0.04380149394273758
216,0.001,256,1,500,0.04375475272536278
217,0.001,256,2,50,0.016119344159960747
218,0.001,256,2,100,0.0160728357732296
219,0.001,256,2,200,0.01602243445813656
220,0.001,256,2,300,0.015936460345983505
221,0.001,256,2,400,0.016123218461871147
222,0.001,256,2,500,0.016143798828125
223,0.001,256,3,50,0.015752267092466354
224,0.001,256,3,100,0.015795733779668808
225,0.001,256,3,200,0.01582116261124611
226,0.001,256,3,300,0.015996523201465607
